=== TODAY GAP ANALYSIS ===
N1-M01: 165 logs
  gap: 5.6min @ 17:12:19
  gap: 5.7min @ 17:17:58
  gap: 5.6min @ 17:23:36
  gap: 5.6min @ 17:29:14
  gap: 5.6min @ 17:34:52
  gap: 5.7min @ 17:40:31
  gap: 5.6min @ 17:46:09
  gap: 5.6min @ 17:51:47
  gap: 5.6min @ 17:57:25
  gap: 5.7min @ 18:03:04
  gap: 5.6min @ 18:08:42
  gap: 5.6min @ 18:14:20
  gap: 5.6min @ 18:19:58
  gap: 5.7min @ 18:25:37
  gap: 5.6min @ 18:31:15
  gap: 5.6min @ 18:36:53
  gap: 5.6min @ 18:42:31
  gap: 5.6min @ 18:48:09
  gap: 5.7min @ 18:53:48
  gap: 0.0min @ 18:53:48
  gap: 5.6min @ 18:59:26
  gap: 5.6min @ 19:05:04
  gap: 5.6min @ 19:10:42
  gap: 5.7min @ 19:16:21
  gap: 5.6min @ 19:21:59
  gap: 5.6min @ 19:27:37
  gap: 5.6min @ 19:33:15
  gap: 5.7min @ 19:38:54
  gap: 5.6min @ 19:44:32
  gap: 5.6min @ 19:50:10
  gap: 5.6min @ 19:55:48
  gap: 5.7min @ 20:01:27
  gap: 5.6min @ 20:07:05
  gap: 5.6min @ 20:12:43
  gap: 5.6min @ 20:18:21
  gap: 5.7min @ 20:24:00
  gap: 5.6min @ 20:29:38
  gap: 5.6min @ 20:35:16
  gap: 5.7min @ 20:40:55
  gap: 5.6min @ 20:46:33
  gap: 5.6min @ 20:52:11
  gap: 5.6min @ 20:57:49
  gap: 5.7min @ 21:03:28
  gap: 5.6min @ 21:09:06
  gap: 5.7min @ 21:14:48
  gap: 5.6min @ 21:20:22
  gap: 5.7min @ 21:26:01
  gap: 5.6min @ 21:31:39
  gap: 5.6min @ 21:37:17
  gap: 5.6min @ 21:42:55
  gap: 11.3min @ 21:54:12
  gap: 5.6min @ 21:59:50
  gap: 5.6min @ 22:05:28
  gap: 5.6min @ 22:11:06
  gap: 5.7min @ 22:16:45
  gap: 5.6min @ 22:22:23
  gap: 5.6min @ 22:28:01
  gap: 5.6min @ 22:33:39
  gap: 5.7min @ 22:39:18
  gap: 5.6min @ 22:44:56
  gap: 5.7min @ 22:50:36
  gap: 5.6min @ 22:56:12
  gap: 5.7min @ 23:01:51
  gap: 5.6min @ 23:07:29
  gap: 5.6min @ 23:13:07
  gap: 5.6min @ 23:18:45
  gap: 5.7min @ 23:24:24
  gap: 5.6min @ 23:30:02
  gap: 5.6min @ 23:35:40
  gap: 5.7min @ 23:41:19
  gap: 5.6min @ 23:46:57
  gap: 5.6min @ 23:52:35
  gap: 5.6min @ 23:58:13
  gap: 5.7min @ 00:03:52
  gap: 5.6min @ 00:09:30
  gap: 5.6min @ 00:15:08
  gap: 5.6min @ 00:20:46
  gap: 5.7min @ 00:26:25
  gap: 5.6min @ 00:32:03
  gap: 5.6min @ 00:37:41
  gap: 5.6min @ 00:43:19
  gap: 5.6min @ 00:48:57
  gap: 5.7min @ 00:54:36
  gap: 5.6min @ 01:00:14
  gap: 5.6min @ 01:05:52
  gap: 5.6min @ 01:11:30
  gap: 5.7min @ 01:17:09
  gap: 5.6min @ 01:22:47
  gap: 0.0min @ 01:22:47
  gap: 5.6min @ 01:28:25
  gap: 5.7min @ 01:34:04
  gap: 5.6min @ 01:39:42
  gap: 5.6min @ 01:45:20
  gap: 5.6min @ 01:50:58
  gap: 5.7min @ 01:56:39
  gap: 5.6min @ 02:02:15
  gap: 5.6min @ 02:07:53
  gap: 5.6min @ 02:13:31
  gap: 5.7min @ 02:19:12
  gap: 11.2min @ 02:30:26
  gap: 5.6min @ 02:36:04
  gap: 5.7min @ 02:41:43
  gap: 5.6min @ 02:47:21
  gap: 5.6min @ 02:52:59
  gap: 5.6min @ 02:58:37
  gap: 5.7min @ 03:04:16
  gap: 5.6min @ 03:09:54
  gap: 5.6min @ 03:15:32
  gap: 5.7min @ 03:21:11
  gap: 5.6min @ 03:26:49
  gap: 5.6min @ 03:32:27
  gap: 5.6min @ 03:38:05
  gap: 5.7min @ 03:43:44
  gap: 5.6min @ 03:49:22
  gap: 5.6min @ 03:55:00
  gap: 5.6min @ 04:00:38
  gap: 5.7min @ 04:06:17
  gap: 5.6min @ 04:11:55
  gap: 5.6min @ 04:17:33
  gap: 5.6min @ 04:23:11
  gap: 5.7min @ 04:28:50
  gap: 11.3min @ 04:40:06
  gap: 5.6min @ 04:45:44
  gap: 5.7min @ 04:51:23
  gap: 11.3min @ 05:02:38
  gap: 5.6min @ 05:08:16
  gap: 0.0min @ 05:08:16
  gap: 5.7min @ 05:13:55
  gap: 5.6min @ 05:19:33
  gap: 5.6min @ 05:25:11
  gap: 0.0min @ 05:25:11
  gap: 5.6min @ 05:30:49
  gap: 5.7min @ 05:36:28
  gap: 5.6min @ 05:42:06
  gap: 5.6min @ 05:47:44
  gap: 5.7min @ 05:53:23
  gap: 5.6min @ 05:59:01
  gap: 5.6min @ 06:04:39

=== T1 MACHINES (ALL TIME) last 5 ===
T1.2-M01 @ 2026-02-16T13:36:47+00:00
T1.2-M01 @ 2026-02-16T13:36:47+00:00
T1.2-M01 @ 2026-02-16T13:31:48+00:00
T1.2-M01 @ 2026-02-16T13:31:48+00:00
T1.2-M01 @ 2026-02-16T13:26:48+00:00
